category,company,description
Electronics & Technology,wildviewcameras.co.uk,"We are one of the UK's Leading suppliers of Trail Cameras, Bird Box cameras and Nightvision equipment for watching wildlife and for the detection and prevention of Rural Crime.
A family run business established in 2010, we offer unrivalled customer service and after-sales care and have served thousands of satisfied customers. We provide 'free-for-life' telephone & email support to all our customers."
Electronics & Technology,www.petertyson.co.uk,"Peter Tyson is a market leader in audio, visual and consumer electronics, supplying a huge range of products from popular brands, selling online and via our retail stores.  

We are a family owned independent business. Trading since 1966, we have established a loyal community of customers, backed by a 4.9-star Trustpilot rating; a testament to our dedication to customer satisfaction and high quality service.

With technical expertise, passion for our products, trade in and save program, flexible financing and free next day delivery on most products, you're in capable hands when you choose Peter Tyson.
"
Hobbies & Crafts,www.hotroxuk.com,"We aim to be very efficient and offer tour support to high profile bands and musicians around the World.  We are a forerunner in supplying Boutique Fx Pedals, High Grade Matched Valves of all types.  Hot Rox at your Service"
Electronics & Technology,scgconnected.co.uk,"Established in 1965, SCG Connected
is a supplier of business-to-business
communications products and services. 

Our objective is simple –
to become the preferred technical solutions provider for SME businesses across the United Kingdom, backed up by market-leading customer service.

Working to foster long-term relationships with our customers, we believe in a partnership approach to business; carefully assessing our customer’s needs before providing telecoms and data packages best suited to their requirements."
Electronics & Technology,www.webuytek.co.uk,"-Top Prices Paid.

-Free Trackable 24 hour postage.

-Same Day Payments.

-Free Return of your device if you change your mind."
Electronics & Technology,tech4cash.com,"Tech4Cash is a leader in sustainable electronics, gives new life to thousands of devices, from iPhones to Smartwatches and Consoles, reducing e-waste in the process. Our rigorous 72 Point Check ensures each product's longevity and quality. We're committed to environmental responsibility and excellence in customer service, offering an unmatched experience with our dedicated support team."
Electronics & Technology,www.idmobile.co.uk,"














Terms & Conditions
1. Our 4G network covers 99.8% of the UK outdoor population. 
2. Based on analysis by Ookla® of Speedtest Intelligence® data for Q3-Q4 2022. Ookla trademarks used under license and reprinted with permission. Visit link here to find out more."
Electronics & Technology,www.cashfortech.co.uk,"We are a tech recycling site, we buy new and used mobile phones, tablets and watches."
Electronics & Technology,productkeys.com,"Introducing ProductKeys.com – your one-stop shop for all your software needs! Say goodbye to the frustration of searching for reliable and affordable software product keys – with ProductKeys.com, you can get everything you need in one place."
Electronics & Technology,giffgaff.com,"giffgaff. We’re up to good.
Hiya. We’re giffgaff. The mobile network that’s up to good.

We do mobile our own way, offering flexibility and great value while doing good for people and the planet.

We put the power back in our members’ hands, with flexible plans for all. From pay as you go, to monthly rolling, to good contracts, it’s super easy to choose a plan that’s right for you. And you can change it up whenever you fancy.

We’re powered by the O2 network, so you’ve got 4G and 5G at your fingertips. If you’re looking for the perfect partner for your plan, we’ve also got a top notch range of new and refurbished phones to choose from.

But our goodness doesn’t stop there. We’re officially a B Corp, and are proud as punch to be making a difference where it really matters.

About giffgaff

Great value, flexible plans packed with data. Visit us online today.
"
Electronics & Technology,powerpointstores.co.uk,"Powerpoint Stores is a family run independent business with stores in market towns Oakengates and Wellington. They have been trading for over 25 years now providing customers with appliance sales and repairs.
Due to their high level of service, attention to detail and product knowledge, their customers remain loyal and much of their business comes from recommendations. 
They provide all household appliances including, washing machines, tumble dryers, washer dryers, fridges, freezers, cookers, vacuum cleaners, smaller kitchen appliances, and much more.
They offer delivery and installation options on freestanding and built in appliances. The friendly knowledgeable team go above and beyond for their customers. They have true family values you only experience when shopping local.
"
Electronics & Technology,ahappliancerepairs.co.uk,"Domestic appliance and small technolgy repairs, from iPhones to Range cookers, Beko to AGA, in Cambs, Beds and Hants"
Electronics & Technology,pcrepairscheshire.co.uk,"There’s nothing better than the latest gadget or piece of tech wizardry. Life is just so much easier with smartphones, so much simpler with laptops, so much more connected with tablets. You love your devices, you rely on your gizmos, and there’s nothing worse than a technical mishap.

One minute you’re happily playing Fortnite, bingeing your latest obsession on Netflix, or finishing off something you’ve been working on for weeks and BOOM! it happens:

Your laptop is infested with a virus…

Your PC has been hijacked by ransomware…

You’re staring into The Blue Screen Of Death…

The cat’s landed on your knee and sent your laptop crashing to the floor, smashing the screen…

We’ll never turn down a device. Give us a call and tell us what’s the problem with your device is (trust us, we’ve heard it all). Alternatively, jump on live chat, or drop in with your device and tell us the issue.

If we can’t find a solution to your problem, there’s no fee, and we’ll advise you on the best way to get your device back up and running (completely free of charge!)."
Electronics & Technology,www.gizmo2go.com,"Buying a mobile
We offer a wide range of high quality refurbished Apple iPhone and Samsung Galaxy smartphones, smart watches and home automation.All of our products come with:
- 12 Month Warranty
- Free Tracked DPD Delivery
- 30 Day Returns
- Dedicated Customer Care Get the best deals on refurbished mobiles with Gizmo2Go!

Selling a faulty mobile
Gizmo2Go purchase faulty mobiles with no haggling! We'll buy:

- Faulty Apple iPhones
- Faulty Samsung Galaxys
- Faulty Huawei mobiles
- Faulty Google Pixels 

We pay the most competitive prices in the market for Samsung Galaxy mobiles - guaranteed!

Visit our website www.gizmo2go.com for more information."
"Food, Beverages & Tobacco",candymail.co.uk,"
Welcome to Candymail.co.uk, your go-to destination for an unparalleled confectionery experience delivered right to your doorstep! At Candymail.co.uk, we're passionate about indulging your sweet tooth and spreading the joy of delectable treats from America and around the world.

Our journey began with a simple yet powerful belief – everyone deserves to savor the goodness of the finest candies and snacks. That's why we founded Candymail.co.uk, a confectionery mail-order website dedicated to bringing the best sweets and treats to Candy enthusiasts across the UK.

What sets us apart is our unwavering commitment to providing an exceptional range of imported candy, snacks, treats, and sodas. Our carefully curated Candy boxes are designed to delight your taste buds with an array of iconic brands, including Reeses, Hersheys, M&Ms, Nerds, Jolly Rancher, Swedish Fish, Mountain Dew, Oreo, American Fanta, Dr. Pepper, Twinkies, and many more.

At Candymail.co.uk, we understand the joy that comes with unwrapping a box filled with your favorite treats, and we strive to make that experience accessible to Candy lovers everywhere. Our dedication to quality, variety, and customer satisfaction has earned us the trust of Candy enthusiasts who turn to us for an exciting journey into the world of international confectionery.

Join us at Candymail.co.uk and treat yourself or your loved ones to an unforgettable candy adventure. Indulge in the sweetest moments, one box at a time!"
Beauty & Well-being,lovingfoods.co.uk,"We’re good for you, we’re tasty, we’re organic - we’re fermented, naturally. Our range of fermented, unpasteurised food and drink is full of friendly, helpful bacteria and made right here in the UK, by us. Are you Loving Foods yet?"
"Food, Beverages & Tobacco",exoticestore.com,Online Indian & Asian Grocery Store.
"Food, Beverages & Tobacco",themodernmilkman.co.uk,"Shop sustainably with confidence on the eco-friendly milkround
We love hearing from our customers just as much as we hate waste, so thanks for sharing your reviews. Keep ‘em comin!
Arriving on your doorstep by 7:30am, our milkround is full of flavour and free of unnecessary waste.
Discover the freshest groceries from the finest farmers, bakers and makers, including eggs, bread, and milk and juices in returnable glass bottles. Just like the good ol’ days!
Ready to join the milkround everyone’s talking about? Check your postcode to find your friendly neighbourhood milkie, or get in touch with our team if you have any questions."
"Food, Beverages & Tobacco",theverygreengrocer.co.uk,Bespoke fresh Fruit & Vegetable and Organic boxes including locally sourced artisan produce delivered with minimal packaging and no plastics.
"Food, Beverages & Tobacco",www.mademoisellemacaron.co.uk,"Have that moment of luxury you deserve with our handmade, gluten-free French macarons. Online sales, corporate, wholesale and weddings catered to. More than just flowers - it's the perfect gift! UK shipping. Bespoke orders welcome."
"Food, Beverages & Tobacco",thaifooddirect.co.uk,"Thai Food Direct is a Thai & Oriental food retailer.
  Fresh items are delivered on a Monday."
"Food, Beverages & Tobacco",cakebox.com,"











Cake Box began its journey in 2008 with one small store. We now have 230+ stores with many more to come. 

It is a great honour to be a part of our customers’ most important celebrations and we pride ourselves in delivering delicious, personalised cakes on demand.


























 






Have any questions? Check out our FAQ! 
    Can’t find the answer you’re looking for? Contact us at info@cakebox.com or use our Store Locator to find the details of your local Cake Box store.


 


 
"
"Food, Beverages & Tobacco",cakesandbakes.co.uk,"Order delicious Eggless Cakes available in various flavors. Order cakes online and  Find Our cakes bakes branches near High Street North, Barking Road,High Street, Romford Road"
"Food, Beverages & Tobacco",www.welshcheesecompany.co.uk,"We sell superb artisan cheeses from Wales' best independent cheesemakers. We specialise in gift boxes, hampers and carefully curated cheeseboards. 
We stock over 60 of the very best Welsh cheeses, and work with 15 fantastic producers. 
Established in 2017, the business has gone from strength to strength, but we've never strayed from our core purpose, which is to champion Welsh cheese to our customers all over the UK."
"Food, Beverages & Tobacco",lolascupcakes.co.uk," Shop Cakes 
 Shop Cupcakes 
 Shop Wedding Cakes 
 Shop Brownies 
 Shop Lola's by Post 
 Contact Us 

Lola's Cupcakes began back in 2006 when two friends, Victoria Jossel and Romy Lewis, started things the good old fashioned way. 

In each of our stores, from Chancery Lane Station to Canary Wharf and even Bicester Village, our cupcake specialists are on hand to advise and to give you a taste of our classic flavours as well as our seasonal new discoveries.

Our sponges rise with the sunrise and our bakers and decorators handcraft our cakes and cupcakes using only the finest ingredients.  Fresh every day, always, Lola’s Cupcakes brings a smile of sweetness to people every single day."
"Food, Beverages & Tobacco",laffinage.co.uk,"We can't wait to share our amazing range of cheese with you, delivered straight to your door, no fuss, no problem, on a day to suit you."
"Food, Beverages & Tobacco",milliescookies.com,"Ever since our inception in 1985, our ovens have tirelessly churned out freshly baked cookies, day in and day out. Presently, we boast a network of more than 40 stores across the UK, each offering a diverse array of delectable cookie creations, all crafted with the cherished expertise of Millie's and served up by our warm and welcoming team. "
"Food, Beverages & Tobacco",www.bettys.co.uk,"We're a world-famous Tea Rooms in Yorkshire, England, sending parcels of pure spirit-lifting deliciousness from our Craft Bakery to homes across the world."
"Food, Beverages & Tobacco",www.justbeehoney.co.uk,"Just Bee Vitamin Honey. Delicious Pure Honey Supercharged with Vitamins. 

Looking for a daily immune boost?

Our Vitamin Honey is supercharged with Vitamins D, C, B6, B12 and Echinacea.

Each teaspoon contains 25% of your recommended daily allowance of these vitamins which help support your immune system. And you'll love the mellow and sweet flavour.

Just Bee was inspired by co-founder Joe's family, who have a long history in beekeeping. Joe’s dad is a beekeeper in Lancashire and his grandad was a beekeeper before him in Ireland. Back in 2014, we started with a very simple idea – to create great tasting and healthy products using honey and to save the bees. This is still true today and now we work with beekeepers across the UK, Europe and New Zealand to source the highest quality honey. 

It’s really important that our products help save the bees. did you know one in every three mouthfuls of food we eat relies on plants being pollinated by bees? And over the past few years there has been a global decline in bee populations, including here in the UK.

Well, we’re determined to do something about it and we need your help!

All our honey orders come with a free packet of bee saving flower seeds."
"Food, Beverages & Tobacco",www.milkandmore.co.uk,"At Milk & More, we are passionate about encouraging people to eat well and live sustainably. We do this by championing smaller suppliers who we trust to provide the very best products for us to deliver to your doorstep.

Our mission is to deliver a positive impact on local communities, the environment and ultimately you.

Deeply rooted as a British icon, we strive to continue both the milkman legacy and its expansion. We now conveniently deliver over 200 exceptional products  ordered via our website and app to doorsteps around the country before 7am.

Find out more about our wonderful suppliers, our dedicated farmers and our investment into their future, as well as how we are becoming even more environmentally friendly.
 VISIT OUR WEBSITE 
"
"Food, Beverages & Tobacco",www.tradewindsorientalshop.co.uk,"Tradewinds Oriental Shop is a family run business specialising in providing the finest food and drinks, furniture, and kitchenware from Asia. Established in 1984, we first commenced trading at our local market in Scunthorpe selling a small selection of basic Chinese cooking ingredients and a variety of Oriental Arts and Crafts.

After 2 years there was sufficient demand to open a small shop on Mary Street, Scunthorpe. Demand soon dictated a move to larger premises and in 1991 we moved to our current premises on Cole Street, Scunthorpe.

Tradewinds Oriental Shop has continued to grow and in 2008 we launched our online website offering consumers within the UK and Europe the opportunity to purchase our products at the click of a button.

Demand for Asian food and drink has continued to grow in popularity over the years which have led to the expansion of our current shop and warehouse premises in recent years. We now stock over 5000 products from across Asia. Our inventory will continue to grow with new lines becoming available both online and in our shop on a weekly basis. 

We remain passionate and great effort goes into sourcing and finding the best authentic ingredients and providing these to all our customers within the UK and around the World. "
"Food, Beverages & Tobacco",www.matthewsfoodsonline.co.uk,"U.K.'s largest Oriental supermarket chain with 6 branches across the country: Glasgow(Headquarter), Edinburgh, Aberdeen, Dundee, Kirkcaldy & Inverness.

Our online shopping platform stocks with 1000+ products of Asian cooking essentials at best value. Shop today for Oriental style of Sauces & Seasoning, Rice & Noodles, Fresh & Dried Ingredients, Snacks & Drinks!"
"Food, Beverages & Tobacco",www.cookfood.net,"Award-winning frozen meals and puddings, hand-prepared by our chefs. Named ‘Best overall meal delivery service 2022’ by BBC Good Food. Or discover your local COOK shop!


About COOK
 
COOK was founded in 1997 by Ed and Dale, two big-hearted entrepreneurs. Their founding statement was: to COOK using the same ingredients and techniques a good cook would use at home, so everything looks and tastes homemade. Much has changed since then but that principle remains: we COOK so you don’t have to.  

  
COOK meals and puddings have picked up scores of Great Taste Awards and are still prepared by hand in our three kitchens. You can find COOK shops on 95 high streets nationwide and our meals are stocked in 900+ independent retailers.

 
Over the years, we’ve set out to become a better kind of company. One that cares as much about doing what’s right for people and planet as about making a profit. It’s why we run carbon neutral kitchens and support people into work after prison, homelessness or mental health challenges through our RAW Talent scheme. In 2013 we became one of the UK’s first B Corps, independently certified as using our business as a force for good.


How to find COOK
 
- Nationwide Home Delivery
 
- Free Click & Collect
 
- 95 COOK shops nationwide
 
- Stocked in 900+ independent retailers across the UK  
 "
"Food, Beverages & Tobacco",bakkali.app,"Cultural groceries delivered to your home. 

We deliver Halal meat, fresh fruit and vegetables, everyday pantry, desserts and more. And with our 100% freshness guarantee, be assured that you'll receive high quality items that you are 100% happy with or you'll get your money back.

We source our products from authentic cultural suppliers across the UK and currently deliver to customers in Greater London."
"Food, Beverages & Tobacco",thecakedecoratingcompany.co.uk,"The Cake Decorating Company is the UK's largest retailer of cake decorating supplies, stocking the basics from sugarpaste, cupcake boxes, cake tins, cake stands and boards to the latest in innovative products. Working closely with world renowned cake artists and designers, we help bring revolutionary products to market, meeting the demands of thousands of customers on a daily basis. Not to mention we stock all of the biggest brands in the cake decorating universe, including major favourites like Renshaw, Massa Ticino, Roxy & Rich, Spectrum Flow, Cake Lace, Katy Sue Designs, Karen Davies, LorAnn and many more. We also stock the best edible printers and chocolate moulds too!"
"Food, Beverages & Tobacco",www.mcqueensdairies.co.uk,"

McQueens are Bringing it home every time, with our doorstep delivery of milk, eggs, juice, all arriving fresh from our dairy before 7AM.

We provide easy sign-up milk delivery service, alongside a range of complimentary products including non-dairy milk alternatives and cream. Milk is available in reusable, recyclable glass bottles and non-dairy alternatives including oat, soya, coconut, and lactose-free milks are also available.

Founded in 1995, McQueens Dairies are a third-generation family business with over 25 years of delivering the freshest dairy to your door. All the milk from McQueens own dairy is delivered by local drivers, serving and supporting local communities all across the UK, serving over a quarter of a million households!

 Get your milk delivered 🥛
 Explore Vitamin D milk ☀️
Socials/Key links 🤳🏻"
"Food, Beverages & Tobacco",chucklingcheese.co.uk,"
The Chuckling Cheese Company | Great British Artisan Cheese
A family-run artisan cheese company based in Skegness, Lincolnshire UK - The business was started in 2012 by husband & wife, Stuart & Emma Colclough. It was later incorporated as The Chuckling Cheese Company Ltd in 2015
The husband and wife duo, Emma and Stuart Colclough set out on their cheesy adventure hosting market stalls at local events around the United Kingdom. During this time is when the cheese team began to grow and soon become notorious for Flavoured Cheddar and our widely developed range of unique flavoured cheese. Offering over 40 different flavours.

We’re not just a cheese company, we also have a wide range selection of chilli jams, craft beers, vodkas, coffee syrups, fudge bars, sweet meringues, and lots more. In 2016 we opened our first Chuckling Cheese Shop in the Skegness Hildred's Centre, then in the next two years, we opened two other stores. One in Doncaster Frenchgate Shopping Centre and another in Middlesbrough Hill Street Shopping Centre. In 2020, we grew the company further by opening two more shops, in Merry Hill Shopping Centre in Brierley Hill near Birmingham and one in Metrocentre in Gateshead near Newcastle. At our shops, you will find an extensive product offering, such as baked goods, cheese sampling, and a freshly baked cheese toastie. 
Visit a shop near you and meet our company mascot, Munchie Mouse.

To this date, we still remain a family-run business that has a wide range of quality products to offer our day-to-day customers as well as Trade and Wholesale Customers, alongside offering a range of  Corporate Gifting options. 
Visit our website!
"
"Food, Beverages & Tobacco",tasteofjapan.shop,"Taste of Japan is dedicated to sourcing, importing and retailing quality Japanese products for UK consumers. All products are carefully selected by our sourcing team in Japan with one mission in mind, namely, to provide a good selection of authentic Japanese products without asking premium prices."
"Food, Beverages & Tobacco",thevillagebutchers.co.uk,"The Village Butchers is a family run butchers based in Essex. We aim to give families nationwide the benefit of quality, reasonably priced meat, delivered the next day to their door – all by the click of a button.
Our customer service team is on hand to give you advice and provide you with that in store butcher shop experience which you can lose when ordering on line."
"Food, Beverages & Tobacco",thecornishcompany.com,"The Cornish Company sells the finest goods from all across Cornwall. From fresh cream teas to pasties by post, become a part of the growing movement of those who simply love Cornwall now!"
"Food, Beverages & Tobacco",www.thevanillavalley.co.uk,"The Vanilla Valley prides itself in providing a complete range of cake decorating supplies and baking equipment for bakers of all abilities from hobby bakers to professionals. Since our establishment in 2008 as a manufacturer of acrylic cupcake stands, we have grown our ever-increasing catalogue to encompass all things cake and baking, and pride ourselves on being one of the UK's leading cake decorating retailers. 

Whether you need essentials such as cake drums, cake boxes, baking tins, sugar paste and food colouring, or tools for the latest cake trends, you should find it all at The Vanilla Valley at a competitive price. We stock from all of the leading brands including Renshaw, PME, Saracino, and more.

Shop online or in our Cardiff store today!"
"Food, Beverages & Tobacco",www.patisserie-valerie.co.uk,"Patisserie Valerie is one of the most loved cake shops in the UK, now with nationwide cake delivery available we are offering the ultimate luxury cake experience at home. 
Using only the freshest ingredients and traditional baking methods, all our cakes are lovingly handmade by our team of expert Bakers. From traditional flavours to exciting new designs there is a wide range of cakes for all celebrations. In addition to this we also offer wedding cakes, cake selection boxes and afternoon tea.
All of our online range is available for pre- order and next day delivery, and can be personalised with an inscription or cake topper. You can also find a variety of cakes at selected Sainsbury’s superstores.  From chocolate cakes to something fruity, find a birthday cake near you!"
"Food, Beverages & Tobacco",zing-asia.co.uk,"Chester Supermarket Warehouse
Open to trade and public alike, we are conveniently located on the Sealand Road industrial estate in Chester.

We have been trading from this location since the auspicious date of opening on 18-08-18

We constantly strive to improve and expand our operations and aim to provide a high standard of customer service to an expanding customer base.

We are always open to suggestions and constantly review our offering based on customer comments and requests.

Stock accuracy is important to us, we are constantly working on improving our systems and strive to achieve 100% stock accuracy."
Home & Garden,sendmeachristmastree.co.uk,"Fresh-cut, British grown Christmas trees - delivered straight to your door! 🎄"
"Food, Beverages & Tobacco",stluciaseamoss.com,"Our Fresh Sea Moss/Irish Moss is a powerful and potent sea algae with amazing healing properties. Known for containing 92 of the body's 102 minerals!

We provide some of the highest quality REAL Sea Moss available!

Harvested in protected waters of St Lucia and fed by the volcanic land of the Island, our Sea Moss is packed with essential nutrients and Vitamins.

Through your purchases, we directly support the local communities of St Lucia 
Shipping Worldwide"
"Food, Beverages & Tobacco",candyscupcakes.co.uk," Based in Manchester, Delivering Nationwide
Nationwide Cupcake Delivery
We now have an online shop specialising in cupcake delivery, so everyone in the UK can have a treat from Candy's Cupcakes.
Using our cupcake delivery service your order will arrive intact, beautifully packaged, ready to eat and will last up to 1 week. We also include a free gift tag for you to leave a personal message.
Simply place your order online before 3pm and have your cupcakes delivered the next day by our specialist fragile courier. 
Local Cupcakes & Cakes
Wanting something more bespoke? We create amazing cupcakes, wedding cakes and birthday cakes, delivering throughout Greater Manchester and Cheshire. Our cupcakes and cakes are made to order and can cater to your imagination.
Candy's Cupcakes caters for:
- Weddings
- Corporate events
- Birthdays
- Christenings / Baptisms
- Special occasions
Whether you want a five-tier wedding cake for your special day, branded cupcakes for a corporate event, a unique birthday cake for a one to one hundred year old, or you just fancy some cupcakes for the weekend. Candy's Cupcakes can create something special and memorable just for you."
"Food, Beverages & Tobacco",savecobradford.co.uk,"At SaveCo our mission is to become the region's foremost online delivery service of the freshest groceries, HMC-certified halal meat and everyday household items. With over 30 years experience in our field, we endeavour to achieve this through impeccable customer service, uncompromising quality and an unwavering commitment to the most important people to us - YOU the customer.

SaveCo Online is the e-commerce arm of SaveCo Group - a third generation independent family business within the retail and wholesale food distribution sectors.

SaveCo supply both household and retail customers with the finest, freshest and most cost effective produce, spices, ingredients and staple products within the world foods market as well as HMC-certified halal meats through it's subsidiary The Meat Company Bradford.

The company serves both retail and trade customers in a competitive marketplace and is well renowned for high levels of quality and service."
"Food, Beverages & Tobacco",www.glossoppicknmix.co.uk,"Your local & UK wide Pick n Mix sweetie supplier! We deliver direct to your door up to 7 miles of SK13 2NS, 0-5 miles is totally FREE any further we post direct to you for only £3.45! Our minimum spend for local delivery is only £10. 
​​
We are a family run business who specialise in all your favourite sweet shop sweets. We have a 5* rating with the food standards agency, so you can be sure you are always receiving sweets of a high standard! We are always updating our stock and expanding our range, so please be sure to visit us regularly and to contact us if you require something that we don’t currently stock.
"
"Food, Beverages & Tobacco",www.majestic.co.uk,"The UK's biggest and best wine retailer offering online ordering with free delivery, award-winning service and market-leading deals."
"Food, Beverages & Tobacco",lowpricefoods.com,"We are specialists in short dated, recently post-dated and bulk food, selling online and delivering across the whole of the UK.

We deliver over 1 million items every month across the UK and our partnerships with leading brands and specialist clearance companies across Europe and the UK enable us to bring huge savings to our customers everyday. Just one problem - Our deals sell out fast!"
"Food, Beverages & Tobacco",sundaytimeswineclub.co.uk,"The Sunday Times Wine Club is the UK's most trusted online wine merchant
Since 1973 we've gone direct to the winemakers in their vineyards to bring real wines of character and authenticity."
"Food, Beverages & Tobacco",youpickwemix.com,You Pick We Mix deliver the nations favourite sweets straight to your door
"Food, Beverages & Tobacco",leavetheherdbehind.com,"Serving the first specialty grade Robusta beans on the market, Black Sheep Coffee are proud to be innovators in the coffee industry. With cafes, kiosks and cocktail bars across the globe, come and soak up the vibe and enjoy the perfect cup."
"Food, Beverages & Tobacco",www.beer52.com,"Beer52 is the UK's most popular craft beer club, based right in the historic heart of Edinburgh, where brewing has a long and rich tradition which we’re proud to be a part of.

 
Each month we send you out a carefully, curated case of the finest craft beers to enjoy - tailored to your tastes and sourced from the best independent microbreweries from around the world. 

 
In a nutshell, we’ve made it our mission to build and foster a community of people who’re just as passionate about craft beer as we are, we’re committed to finding the world’s best craft beers and broadening your beer horizons with some unique and exciting flavour profiles, straight to your door!

 
You’ll get to enjoy a few extra goodies each month too! Come behind the scenes at the world’s most exciting breweries each month with your included issue of Ferment magazine, join us as we travel the world, navigating the exciting world of craft beer, with some snacks for good measure.

 
 
For more information, see our FAQs: https://www.beer52.com/faq


Or if you need to get in touch then please reach out to us via https://www.beer52.com/help


 
Winner of SIBA: Best Independent Beer Retailer of the Year 2016, Winner of Business of the Year 2016 at Startups.co.uk. Winner of Buchanan Awards: Overall Business of the Year 2016 and Growth Business of the Year 2016

"
"Food, Beverages & Tobacco",vocationbrewery.com,"Brewing bold beers from our hilltop in Hebden Bridge and pouring punchy pints from our very own taprooms. We’re resolutely in the business of setting standards, not following trends. We punch above our weight by putting good beer into good people’s fridges, never courting credibility we just let our hop forward, unapologetic beers do the talking. Our core collection is a constant to always come back to, while we show our creative flare through limited editions.

We put our heart and soul into every brew – it’s not life and death but it’s up there. We listen to our drinkers, we still make beer for us as much for as we do for them, and we still only brew beer we’re proud to put our name on. It’s still our Vocation."
"Food, Beverages & Tobacco",www.laithwaites.co.uk,"At Laithwaites we stop at nothing to bring you great wines!
For over 50 years, we've been a family-owned wine seller committed to bringing you the very best.
 Our award-winning customer service and our 100% guarantee reflect the same care and passion we pour into selecting our wines."
"Food, Beverages & Tobacco",coffeebeanshop.co.uk,"
A Coffee Roastery Like No Other. 
Family run & proud to be the number 1 rated coffee company in the UK on Trustpilot!
Spilling the beans since 2008.
From our family run Artisan Roastery in Kent.


From humble beginnings in Lizzie’s garage at home in Kent, to being awarded the number 1 coffee roaster on Trustpilot in the UK. Lizzie and her family are proud to deliver a superb choice of delicious freshly roasted coffee from this season's finest crops.

For the last 14 years, we continue to pride ourselves on roasting some of the finest coffee available worldwide, we hand roast daily over flame and take great care to make sure all your delicious coffee is as fresh as possible.

You asked and we listened... 

All our new bags are now resealable, recyclable, and loveable which carry the theme of joy and delicious coffee at home, at work or on the go. We hope you all agree that now more than ever a bag of Coffee Bean Shop coffee, really has a 'little love in every cup'!"
"Food, Beverages & Tobacco",www.flavourly.com,"
Flavourly collaborates with top craft brewers to bring you a selection of quality, great-tasting craft beers. These are brewed fresh, exclusively for the Flavourly community and delivered to you at unbeatable value.


Incredible selection
Award-winning breweries
FREE delivery (no minimum order)
"
"Food, Beverages & Tobacco",www.drinksupermarket.com,"DrinkSupermarket is the one stop shop for all your drink needs, with over 9000 wines, beers, spirits and soft drinks for you to choose from and delivery ranging from a single bottle miniature to a mixed pallet we guarantee better convenience, selection and value for all our customers."
"Food, Beverages & Tobacco",www.thorntons.co.uk,"For over a century, Thorntons has specialised in crafting high quality chocolate, sweets, toffee, fudge and other confectionery. Our rich heritage has seen us constantly create and improve new and favourite recipes to enhance your chocolate experience."
"Food, Beverages & Tobacco",www.fortnumandmason.com,"Welcome to Fortnum & Mason.

Since the first day they opened their doors back in 1707,  Fortnum & Mason  has been an essential destination for all in search of extraordinary food, unforgettable experiences  and joy-giving things. 

In the centuries since, they've perfected the art of  Afternoon Tea at The Diamond Jubilee Tea Salon, sent their iconic  wicker hampers to every corner of the globe, created all manner of wonderful things to eat and drink from our  Food Hall, and even found the time to write a Cook Book or two, filled with countless mouthwatering recipes from the restaurants at their London flagship store. 

Proud holders of  Royal Warrants for generations, Fortnum's commitment to delicious innovation continues apace, with new stores opening close to home and further afield, and the introduction of a new 3rd Floor at Piccadilly, complete with a stunning Food & Drink Studio, Cook Shop, and an in-house gin distillery.

"
"Food, Beverages & Tobacco",www.beersofeurope.co.uk,"Britains Biggest Beer Shop, with probably the best selection of beers, ciders and spirits in the world in store or online"
"Food, Beverages & Tobacco",artisancoffeeco.com,"

Artisan Coffee Co. is revolutionising the way we enjoy coffee. 

The freshest and tastiest coffee around, Artisan's six coffee characters have been created by an expert team including a world-renowned Michelin-starred chef, our shared passion for coffee led us to a clear mission: to deliver delicious coffee that everybody can enjoy.



We celebrate coffee in its purest and most delicious form, packed with individuality and full of character. Our mantra? Flavour first.



Whether you are used to brewing your coffee in a pod machine, cafetière, pour over or moka pot, Artisan has a blend perfectly suited to you and your every mood. All our coffee comes pre-portioned and in nitro-sealed packaging, meaning your coffee stays fresher and more flavourful for longer. This is coffee as you’ve never experienced or tasted it before.



Why we’re different: We take a fresh approach to coffee. Our blends have been created and perfected by some of the most prodigious experts in the industry. 

From a Michelin two-starred chef, to a team of the world’s best Q graders (the coffee industry’s equivalent to a sommelier), we’ve employed some of the best minds - and palates - in the business. You won’t find craftsmanship - or flavour - like this anywhere else.


"
"Food, Beverages & Tobacco",chocolatetradingco.com,"Chocolate Trading Company have the widest range of premium chocolates available online in the UK.
From superior quality chocolate gift boxes through to economically priced chocolate ingredients and decorations."
"Food, Beverages & Tobacco",coffeehit.co.uk,"At Coffee Hit we offer the best gear to make coffee on the planet. We have our own range gear under the brand Rhinowares and we are partners with Brewista to develop a range of products that is innovative, high in quality and a reasonable price.
We also bring innovative new products to market in the UK and Europe, products we believe offer innovation and quality."
"Food, Beverages & Tobacco",www.britishcornershop.co.uk,"British Corner Shop is the British Brand Export Company – helping connect people worldwide with their favourite products from the UK.

Stocking thousands of British food & drink items, we deliver worldwide using through our established international courier and freight networks.

We don’t just lead the way on quality, we are also No.1 for trust and innovation. We deliver on integrity, expertise and ambition, quintessentially British values that resonate worldwide. 
"
"Food, Beverages & Tobacco",www.dolce-gusto.co.uk,"With over 50 different varieties, discover coffee-shop quality coffee in the comfort of your home at the simple touch of a button."
